CityObject,Zone
<http://localhost/berlin/cityobject/UUID_cc537fda-3dc7-48ad-9a43-8640e7310298/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_adaff468-052e-4e3e-a2c1-269b571412a7/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_eca9a481-db1b-4ba6-b919-b68a604f65dd/>,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY
<http://localhost/berlin/cityobject/UUID_2f31b56f-6642-4c27-8dc5-695f1a553659/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_b6874c15-6c8f-4c7d-a4d2-7b4289d43de1/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_0b9b53ae-12a9-472c-b38d-b255ce957649/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_6ecabf17-e0ff-4fd6-8c3d-1280aff6fdf1/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_36cd4d4a-463e-4c71-953b-33b7f905ac8b/>,WHITE
<http://localhost/berlin/cityobject/UUID_8dedf878-d90d-4168-a901-1fa444f7bcee/>,WHITE
<http://localhost/berlin/cityobject/UUID_5e6c425e-fc7f-4ab7-abe4-2676c0923467/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c353d760-4904-4c70-b9f8-c45ebfdf4f9b/>,WHITE
<http://localhost/berlin/cityobject/UUID_69f81482-cdfa-4c51-b7c6-93ffdbe49a29/>,WHITE
<http://localhost/berlin/cityobject/UUID_5f14a2b1-5a52-4d31-a5cc-5954eb864f18/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_2f301cda-aa56-4035-8d1d-084563d2a973/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c3b0cb02-65d8-48f5-8110-25468d26d108/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_88b91d00-39ba-433d-9b3a-a3e975638e6a/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c49f1be9-f01c-4b7c-a7b4-44ba6ab1b493/>,COMMERCIAL
